date,timestamp,interest,query
2004-01-01,1072915200,10,oil prices
2004-02-01,1075593600,9,oil prices
2004-03-01,1078099200,13,oil prices
2004-04-01,1080777600,13,oil prices
2004-05-01,1083369600,25,oil prices
2004-06-01,1086048000,18,oil prices
2004-07-01,1088640000,14,oil prices
2004-08-01,1091318400,30,oil prices
2004-09-01,1093996800,23,oil prices
2004-10-01,1096588800,34,oil prices
2004-11-01,1099267200,26,oil prices
2004-12-01,1101859200,20,oil prices
2005-01-01,1104537600,15,oil prices
2005-02-01,1107216000,15,oil prices
2005-03-01,1109635200,27,oil prices
2005-04-01,1112313600,32,oil prices
2005-05-01,1114905600,23,oil prices
2005-06-01,1117584000,25,oil prices
2005-07-01,1120176000,27,oil prices
2005-08-01,1122854400,52,oil prices
2005-09-01,1125532800,51,oil prices
2005-10-01,1128124800,34,oil prices
2005-11-01,1130803200,29,oil prices
2005-12-01,1133395200,21,oil prices
2006-01-01,1136073600,24,oil prices
2006-02-01,1138752000,23,oil prices
2006-03-01,1141171200,22,oil prices
2006-04-01,1143849600,31,oil prices
2006-05-01,1146441600,28,oil prices
2006-06-01,1149120000,22,oil prices
2006-07-01,1151712000,26,oil prices
2006-08-01,1154390400,26,oil prices
2006-09-01,1157068800,37,oil prices
2006-10-01,1159660800,31,oil prices
2006-11-01,1162339200,23,oil prices
2006-12-01,1164931200,16,oil prices
2007-01-01,1167609600,27,oil prices
2007-02-01,1170288000,19,oil prices
2007-03-01,1172707200,18,oil prices
2007-04-01,1175385600,18,oil prices
2007-05-01,1177977600,19,oil prices
2007-06-01,1180656000,14,oil prices
2007-07-01,1183248000,14,oil prices
2007-08-01,1185926400,16,oil prices
2007-09-01,1188604800,16,oil prices
2007-10-01,1191196800,23,oil prices
2007-11-01,1193875200,35,oil prices
2007-12-01,1196467200,20,oil prices
2008-01-01,1199145600,25,oil prices
2008-02-01,1201824000,21,oil prices
2008-03-01,1204329600,32,oil prices
2008-04-01,1207008000,32,oil prices
2008-05-01,1209600000,51,oil prices
2008-06-01,1212278400,62,oil prices
2008-07-01,1214870400,81,oil prices
2008-08-01,1217548800,73,oil prices
2008-09-01,1220227200,81,oil prices
2008-10-01,1222819200,98,oil prices
2008-11-01,1225497600,68,oil prices
2008-12-01,1228089600,69,oil prices
2009-01-01,1230768000,51,oil prices
